"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1978389723849822616","Wed Oct 15 09:17:21 +0000 2025","0","Ketua Komisi III DPR RI Habiburokhman sempat menyinggung program prioritas Prabowo Subianto soal Makan Bergizi Gratis (MBG) saat rapat dengar pendapat umum di masa reses. Ia mengaku selama dirinya turun ke daerah pemilihan belum menemukan warga yang menolak MBG. Ia menyebut https://t.co/hbF3O1K2Ke","1978389723849822616","https://pbs.twimg.com/media/G3Sm91fbkAAr9Q5.jpg","","in","","0","1","0","https://x.com/undefined/status/1978389723849822616","46693036",
"1978389701548466606","Wed Oct 15 09:17:16 +0000 2025","1","satu kasus udah terlalu banyak ga usah bikin statement yang mengesampingkan perlunya penanganan kasus yang tepat dalam konteks apapun itu. MBG? dianggap remeh. korupsi? dianggap ga ada. sekarang kasus kekerasan seksual yang mulai terkuak dibilang dibesar-besarkan? mikir.","1978389701548466606","","","in","","0","0","0","https://x.com/undefined/status/1978389701548466606","1255384040707952642",
"1978389532182524299","Wed Oct 15 09:16:36 +0000 2025","0","Tapi pertanyaan krusialnya: Dengan anggaran sebesar itu bagaimana porsi untuk perbaikan nasib guru dan rehabilitasi sekolah yang rusak? Yuk ​tonton analisis lengkapnya di YouTube Gelora TV https://t.co/4cXr53lZ8d #MBG #MakanBergiziGratis #danapendidikan #nasibguru","1978389534992654561","","geloratvoffc","in","","0","0","0","https://x.com/undefined/status/1978389534992654561","1972597412897464320",
"1978389424787411031","Wed Oct 15 09:16:10 +0000 2025","0","Ini NotebookLM isinya dokumen seputar MBG dah mau 30-an file ngadat gak mau nyimpen notes. Mosok query ulang tiap mbuka weleh. Terpaksa copas aja ke gdocs :))","1978389424787411031","","","in","","0","0","0","https://x.com/undefined/status/1978389424787411031","43258431",
"1978339661152993286","Wed Oct 15 09:15:18 +0000 2025","0","@JukiHoki Cosplay jd MBG","1978389206603804849","","JukiHoki","in","","0","0","0","https://x.com/undefined/status/1978389206603804849","1307596921226186753",
"1978389197535773089","Wed Oct 15 09:15:16 +0000 2025","0","Skrg agak gimana tiap habis ngritik pemerintah atau apalah ada yang BM pdhl kmrn2 biasa aja semenjak accku ke lock beberapa hari gr2 ngritik mbg pdhl fakta yaelah gini amat jadi wni ","1978389197535773089","","","in","","0","1","0","https://x.com/undefined/status/1978389197535773089","1513362062684352515",
"1978389131655844262","Wed Oct 15 09:15:00 +0000 2025","0","mbg b nya BIBLICAL","1978389131655844262","","","in","","0","0","0","https://x.com/undefined/status/1978389131655844262","1589956669051531264",
"1978389131177930784","Wed Oct 15 09:15:00 +0000 2025","0","Habiburokhman Wajarkan MBG Bermasalah Sebab Seperti Hajatan https://t.co/DrayOChL1E","1978389131177930784","","","in","","0","4","3","https://x.com/undefined/status/1978389131177930784","4187275698",
"1978292946337505388","Wed Oct 15 09:14:19 +0000 2025","0","@NKRI_0607 @Ceysa_ku Konsepnya py? Dia relawan Tp bisa ke tanah suci... Sudah berjalan berapa bulan mbg nya...","1978388960058425435","","NKRI_0607","in","","0","0","0","https://x.com/undefined/status/1978388960058425435","1143864778969927681",
"1978371562484224389","Wed Oct 15 09:14:09 +0000 2025","0","@catchmeupco Tugas Nanik S Deyang tidak banyak berubah sih. Mulai jaman Twitter (belum X) jaman PS gagal jd presiden yg awal2 jaman dia gak punya jabatan selain jadi buz**r hingga dapat jabatan komisaris anak Pertamina smapai skrg di MBG... tetap bagian 'cuci piring ' :p","1978388918006362301","","catchmeupco","in","","0","0","0","https://x.com/undefined/status/1978388918006362301","65892842",
