conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,casefolding
1976626391107170460,Fri Oct 10 12:30:30 +0000 2025,0,Buseet buzzer2 MBG skrg mainnya DM. https://t.co/S8sYx73ykx,1976626391107170460,https://pbs.twimg.com/media/G25jOE_bcAEUzif.jpg,,in,,0,0,0,https://x.com/undefined/status/1976626391107170460,1449018558189486085,,buseet buzzer2 mbg skrg mainnya dm. https://t.co/s8syx73ykx
1976617261353046189,Fri Oct 10 11:54:13 +0000 2025,0,bagaimana kalau kakak update pamil dan pamud sekaligus?? demi mbg aku kak NDER AKU DICHAT PANITIA MBG LG TAU https://t.co/GGMXJT3eX6,1976617261353046189,,,in,,0,0,0,https://x.com/undefined/status/1976617261353046189,3152251611,,bagaimana kalau kakak update pamil dan pamud sekaligus?? demi mbg aku kak nder aku dichat panitia mbg lg tau https://t.co/ggmxjt3ex6
1976606788616417594,Fri Oct 10 11:54:12 +0000 2025,0,@syaewon Kek mbg ada menu sapi aje bg. ,1976617258060570902,,syaewon,in,,0,1,0,https://x.com/undefined/status/1976617258060570902,1695308094258155520,,@syaewon kek mbg ada menu sapi aje bg. 
1976528123148763503,Fri Oct 10 11:52:58 +0000 2025,0,@ARSIPAJA Rakyat Indonesia masih punya harapan besar dari pak. Presiden Prabowo. MBG Sekolah Rakyat.,1976616945589109229,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1976616945589109229,920823087351848960,,@arsipaja rakyat indonesia masih punya harapan besar dari pak. presiden prabowo. mbg sekolah rakyat.
1976497924801761292,Fri Oct 10 11:52:43 +0000 2025,0,@HalomoanHa91790 @tempodotco Ya ampuun Pak. Pikir logika klo ribuan chef diserap artinya apa anak2? Pengangguran berkurang kocak. Inilah program MBG ya v bermanfaat untuk semuanya. #LanjutkanMBG,1976616881768575162,,HalomoanHa91790,in,,0,4,0,https://x.com/undefined/status/1976616881768575162,1942702876050219009,,@halomoanha91790 @tempodotco ya ampuun pak. pikir logika klo ribuan chef diserap artinya apa anak2? pengangguran berkurang kocak. inilah program mbg ya v bermanfaat untuk semuanya. #lanjutkanmbg
1976515820282130921,Fri Oct 10 11:52:16 +0000 2025,0,@msJnlee0023 wawww so yummyyyy aku tunggu mbg besok ia,1976616768597827899,,msJnlee0023,in,,0,0,0,https://x.com/undefined/status/1976616768597827899,1927868465664380932,,@msjnlee0023 wawww so yummyyyy aku tunggu mbg besok ia
1976616739778773354,Fri Oct 10 11:52:09 +0000 2025,0,klo ada yg bahas mbg nih gua bawaanny kesel trs jd badmood malesss,1976616739778773354,,,in,,0,0,0,https://x.com/undefined/status/1976616739778773354,1205396611683123200,,klo ada yg bahas mbg nih gua bawaanny kesel trs jd badmood malesss
1976616548279411171,Fri Oct 10 11:51:23 +0000 2025,0,pada keracunan MBG kah,1976616548279411171,,,in,,0,0,0,https://x.com/undefined/status/1976616548279411171,3191583807,,pada keracunan mbg kah
1976503279380250752,Fri Oct 10 11:51:20 +0000 2025,1,@twistie_donut ini baru MBG sehat,1976616536979951659,,twistie_donut,in,,0,1,0,https://x.com/undefined/status/1976616536979951659,1652864323872788482,,@twistie_donut ini baru mbg sehat
1976616535570674010,Fri Oct 10 11:51:20 +0000 2025,3,TONIGHT LIVE @ 19.30 WIB : https://t.co/VWRSwj83S0 SPICY TALKNYA BERITA PANAS SEMUA HARI INI: TUNJNAGAN RESES DPR NAIK? LUHUT BELAIN MBG? BAHLIL MAU RUSAK BENSIN DENGAN E10 MANDATORY? *checks notes* PPI TUNISA MALAK MABA?,1976616535570674010,,,in,,0,0,0,https://x.com/undefined/status/1976616535570674010,1249662133916192768,,tonight live @ 19.30 wib : https://t.co/vwrswj83s0 spicy talknya berita panas semua hari ini: tunjnagan reses dpr naik? luhut belain mbg? bahlil mau rusak bensin dengan e10 mandatory? *checks notes* ppi tunisa malak maba?
1976616522589368774,Fri Oct 10 11:51:17 +0000 2025,0,kangen suasana nonton tivi bareng bapak/ibu setelah waktu maghrib . kadang ada tetangga ikut numpang nonton pula. membahas topik topik terkini. mungkin soal keracunan mbg #saudade,1976616522589368774,,,in,,0,0,0,https://x.com/undefined/status/1976616522589368774,125579184,,kangen suasana nonton tivi bareng bapak/ibu setelah waktu maghrib . kadang ada tetangga ikut numpang nonton pula. membahas topik topik terkini. mungkin soal keracunan mbg #saudade
